sdmx-dimension:refPeriod,sdmx-attribute:unitMeasure,dcat-dimension:thing,dcat:measure_1_value,sdmx-attribute:refArea
2012-01-15,SSP/L,Fuel (diesel) - Retail,7.9063,South Sudan - National Average
2012-02-15,SSP/L,Fuel (diesel) - Retail,7.275,South Sudan - National Average
2012-03-15,SSP/L,Fuel (diesel) - Retail,7.4531,South Sudan - National Average
2012-04-15,SSP/L,Fuel (diesel) - Retail,8.1719,South Sudan - National Average
2012-05-15,SSP/L,Fuel (diesel) - Retail,11.9688,South Sudan - National Average
2012-06-15,SSP/L,Fuel (diesel) - Retail,10.2656,South Sudan - National Average
2012-07-15,SSP/L,Fuel (diesel) - Retail,10.3438,South Sudan - National Average
2012-08-15,SSP/L,Fuel (diesel) - Retail,10.8125,South Sudan - National Average
2012-09-15,SSP/L,Fuel (diesel) - Retail,10.125,South Sudan - National Average
2012-10-15,SSP/L,Fuel (diesel) - Retail,10.6875,South Sudan - National Average
2012-11-15,SSP/L,Fuel (diesel) - Retail,10.4516,South Sudan - National Average
2012-12-15,SSP/L,Fuel (diesel) - Retail,10.1875,South Sudan - National Average
2013-01-15,SSP/L,Fuel (diesel) - Retail,9.625,South Sudan - National Average
2013-02-15,SSP/L,Fuel (diesel) - Retail,9.1875,South Sudan - National Average
2013-03-15,SSP/L,Fuel (diesel) - Retail,9.2656,South Sudan - National Average
2013-04-15,SSP/L,Fuel (diesel) - Retail,9.1071,South Sudan - National Average
2013-05-15,SSP/L,Fuel (diesel) - Retail,8.75,South Sudan - National Average
2013-06-15,SSP/L,Fuel (diesel) - Retail,8.8333,South Sudan - National Average
2013-07-15,SSP/L,Fuel (diesel) - Retail,8.7656,South Sudan - National Average
2013-08-15,SSP/L,Fuel (diesel) - Retail,9.4286,South Sudan - National Average
2013-09-15,SSP/L,Fuel (diesel) - Retail,9.0714,South Sudan - National Average
2013-10-15,SSP/L,Fuel (diesel) - Retail,8.7857,South Sudan - National Average
2013-11-15,SSP/L,Fuel (diesel) - Retail,8.8214,South Sudan - National Average
2013-12-15,SSP/L,Fuel (diesel) - Retail,8.9643,South Sudan - National Average
2012-01-15,SSP/L,Fuel (petrol-gasoline) - Retail,9.9187,South Sudan - National Average
2012-02-15,SSP/L,Fuel (petrol-gasoline) - Retail,9.1406,South Sudan - National Average
2012-03-15,SSP/L,Fuel (petrol-gasoline) - Retail,8.675,South Sudan - National Average
2012-04-15,SSP/L,Fuel (petrol-gasoline) - Retail,11.8438,South Sudan - National Average
2012-05-15,SSP/L,Fuel (petrol-gasoline) - Retail,14.3125,South Sudan - National Average
2012-06-15,SSP/L,Fuel (petrol-gasoline) - Retail,14.2581,South Sudan - National Average
2012-07-15,SSP/L,Fuel (petrol-gasoline) - Retail,11.9643,South Sudan - National Average
2012-08-15,SSP/L,Fuel (petrol-gasoline) - Retail,11.3214,South Sudan - National Average
2012-09-15,SSP/L,Fuel (petrol-gasoline) - Retail,11.0625,South Sudan - National Average
2012-10-15,SSP/L,Fuel (petrol-gasoline) - Retail,10.7813,South Sudan - National Average
2012-11-15,SSP/L,Fuel (petrol-gasoline) - Retail,11.5129,South Sudan - National Average
2012-12-15,SSP/L,Fuel (petrol-gasoline) - Retail,11.8438,South Sudan - National Average
