DATE      	CROP           	TOTAL BIOMASS  	ROOT BIOMASS   	GRAIN YIELD    	FORAGE YIELD   	AG RESIDUE     	HARVEST INDEX  	POTENTIAL TR   	ACTUAL TR      	SOIL EVAP      	TOTAL N        	ROOT N         	GRAIN N        	FORAGE N       	CUM. N STRESS  	N IN HARVEST   	N IN RESIDUE   	N CONCN FORAGE 
YYYY-MM-DD	-              	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/Mg          	mm             	mm             	mm             	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	-              	kg/ha          	kg/ha          	%              
2000-09-23	Maize          	19.583121      	2.445365       	7.317382       	0.000000       	9.820374       	0.426974       	296.626039     	301.592773     	186.216560     	0.133389       	0.015118       	0.076584       	0.000000       	0.138244       	76.583770      	56.805279      	0.000000       
2001-10-06	Maize          	17.450764      	2.207287       	6.603716       	0.000000       	8.639761       	0.433216       	346.824429     	348.251595     	191.790886     	0.118654       	0.013037       	0.068999       	0.000000       	0.174955       	68.999317      	49.654471      	0.000000       
2002-10-14	Maize          	18.631509      	2.314050       	7.041001       	0.000000       	9.276458       	0.431501       	388.124059     	389.825784     	246.413408     	0.128423       	0.014083       	0.074518       	0.000000       	0.160265       	74.518112      	53.904569      	0.000000       
2003-09-26	Maize          	16.497376      	2.113439       	6.261300       	0.000000       	8.122636       	0.435298       	300.770773     	300.933730     	160.870045     	0.116734       	0.012513       	0.068285       	0.000000       	0.164250       	68.284717      	48.449571      	0.000000       
2004-09-27	Maize          	18.781493      	2.341078       	7.068684       	0.000000       	9.371731       	0.429958       	305.438842     	307.275818     	175.161055     	0.131660       	0.014412       	0.076246       	0.000000       	0.137919       	76.246438      	55.413426      	0.000000       
2005-09-26	Maize          	17.256451      	2.025560       	6.648103       	0.000000       	8.582788       	0.436488       	289.525537     	290.680837     	176.467843     	0.127915       	0.012887       	0.075489       	0.000000       	0.117367       	75.489487      	52.425356      	0.000000       
2006-09-27	Maize          	18.712853      	2.228077       	7.132583       	0.000000       	9.352192       	0.432677       	317.088971     	317.217466     	178.503784     	0.130519       	0.013602       	0.076324       	0.000000       	0.133740       	76.324237      	54.195036      	0.000000       
2007-09-27	Maize          	17.465275      	2.135065       	6.650497       	0.000000       	8.679713       	0.433816       	299.784217     	299.855007     	197.285783     	0.130438       	0.013558       	0.076422       	0.000000       	0.110771       	76.421945      	54.016243      	0.000000       
2008-09-26	Maize          	19.362912      	2.334758       	7.350571       	0.000000       	9.677583       	0.431672       	333.267990     	333.618959     	199.960841     	0.132300       	0.014271       	0.076941       	0.000000       	0.138818       	76.940987      	55.358737      	0.000000       
2009-09-30	Maize          	17.349361      	2.003506       	6.859651       	0.000000       	8.486205       	0.447003       	327.084183     	328.350653     	146.468416     	0.129095       	0.012793       	0.077406       	0.000000       	0.113569       	77.406256      	51.688354      	0.000000       
2010-09-29	Maize          	20.823135      	2.251747       	8.880300       	0.000000       	9.691088       	0.478171       	330.064222     	331.597816     	187.043265     	0.153382       	0.015381       	0.095360       	0.000000       	0.058201       	95.360493      	58.021755      	0.000000       
2011-10-03	Maize          	18.421487      	2.387441       	6.744058       	0.000000       	9.289987       	0.420609       	405.234200     	408.560728     	178.041915     	0.123437       	0.014040       	0.070179       	0.000000       	0.182383       	70.178662      	53.258388      	0.000000       
2012-09-30	Maize          	18.388009      	2.275726       	7.028397       	0.000000       	9.083887       	0.436214       	360.419305     	360.868999     	186.961852     	0.126358       	0.013633       	0.073950       	0.000000       	0.160942       	73.949970      	52.407591      	0.000000       
2013-10-02	Maize          	20.972383      	2.477900       	8.190965       	0.000000       	10.303518      	0.442887       	387.962505     	389.882806     	226.492070     	0.144433       	0.015926       	0.085068       	0.000000       	0.118548       	85.067511      	59.365321      	0.000000       
2014-10-02	Maize          	19.697182      	2.445220       	7.518289       	0.000000       	9.733673       	0.435793       	393.492605     	396.794986     	214.442025     	0.131307       	0.014722       	0.076438       	0.000000       	0.162898       	76.438032      	54.869000      	0.000000       
2015-10-11	Maize          	19.732289      	2.397892       	7.617483       	0.000000       	9.716914       	0.439443       	501.921544     	503.324507     	216.150545     	0.140508       	0.015287       	0.082511       	0.000000       	0.129819       	82.510932      	57.997223      	0.000000       
2016-10-07	Maize          	18.930770      	2.340026       	7.196740       	0.000000       	9.394003       	0.433780       	466.478717     	431.804565     	201.285553     	0.141141       	0.015282       	0.082289       	0.000000       	0.099009       	82.288808      	58.852559      	0.000000       
2017-10-09	Maize          	15.898321      	1.893255       	6.406862       	0.000000       	7.598204       	0.457467       	405.019067     	348.073890     	199.328151     	0.128241       	0.012960       	0.077751       	0.000000       	0.042474       	77.751365      	50.489795      	0.000000       
