rdfs:label,rdf:value,eg:recorded_at,eg:unit
"Crude oil, average($/bbl)",0.010252391948539285,1960-01-01,$/liter
"Crude oil, average($/bbl)",0.010252391948539285,1960-02-01,$/liter
"Crude oil, average($/bbl)",0.010252391948539285,1960-03-01,$/liter
"Crude oil, average($/bbl)",0.010252391948539285,1960-04-01,$/liter
"Crude oil, average($/bbl)",0.010252391948539285,1960-05-01,$/liter
"Crude oil, average($/bbl)",0.010252391948539285,1960-06-01,$/liter
"Crude oil, average($/bbl)",0.010252391948539285,1960-07-01,$/liter
"Crude oil, average($/bbl)",0.010252391948539285,1960-08-01,$/liter
"Crude oil, average($/bbl)",0.010252391948539285,1960-09-01,$/liter
"Crude oil, average($/bbl)",0.010252391948539285,1960-10-01,$/liter
"Crude oil, average($/bbl)",0.010252391948539285,1960-11-01,$/liter
"Crude oil, average($/bbl)",0.010252391948539285,1960-12-01,$/liter
"Crude oil, average($/bbl)",0.00987500259454686,1961-01-01,$/liter
"Crude oil, average($/bbl)",0.00987500259454686,1961-02-01,$/liter
"Crude oil, average($/bbl)",0.00987500259454686,1961-03-01,$/liter
"Crude oil, average($/bbl)",0.00987500259454686,1961-04-01,$/liter
"Crude oil, average($/bbl)",0.00987500259454686,1961-05-01,$/liter
"Crude oil, average($/bbl)",0.00987500259454686,1961-06-01,$/liter
"Crude oil, average($/bbl)",0.00987500259454686,1961-07-01,$/liter
"Crude oil, average($/bbl)",0.00987500259454686,1961-08-01,$/liter
"Crude oil, average($/bbl)",0.00987500259454686,1961-09-01,$/liter
"Crude oil, average($/bbl)",0.00987500259454686,1961-10-01,$/liter
"Crude oil, average($/bbl)",0.00987500259454686,1961-11-01,$/liter
"Crude oil, average($/bbl)",0.00987500259454686,1961-12-01,$/liter
"Crude oil, average($/bbl)",0.009560512066058107,1962-01-01,$/liter
"Crude oil, average($/bbl)",0.009560512066058107,1962-02-01,$/liter
"Crude oil, average($/bbl)",0.009560512066058107,1962-03-01,$/liter
"Crude oil, average($/bbl)",0.009560512066058107,1962-04-01,$/liter
"Crude oil, average($/bbl)",0.009560512066058107,1962-05-01,$/liter
"Crude oil, average($/bbl)",0.009560512066058107,1962-06-01,$/liter
"Crude oil, average($/bbl)",0.009560512066058107,1962-07-01,$/liter
"Crude oil, average($/bbl)",0.009560512066058107,1962-08-01,$/liter
"Crude oil, average($/bbl)",0.009560512066058107,1962-09-01,$/liter
"Crude oil, average($/bbl)",0.009560512066058107,1962-10-01,$/liter
