ELEID,INDEX,KSATV,THETA_S,THETA_R,INFD,ALPA,BETA,HAREAF,KSATMACV
1,87,0.69046194,0.44429861,0.01,0.1,5.64047,1.17918,0.01,69.0462
2,20,0.49310491,0.4128244,0.01,0.1,5.80106,1.16803,0.01,49.3105
3,269,0.90209668,0.46614477,0.01,0.1,4.85669,1.20663,0.01,90.2097
4,87,0.69046194,0.44429861,0.01,0.1,5.64047,1.17918,0.01,69.0462
5,32,0.36110928,0.41774832,0.01,0.1,4.79005,1.14446,0.01,36.1109
6,269,0.90209668,0.46614477,0.01,0.1,4.85669,1.20663,0.01,90.2097
7,50,0.73916624,0.44078471,0.01,0.1,5.6679,1.20583,0.01,73.9166
8,358,1.22903404,0.47649243,0.01,0.1,5.40701,1.1971,0.01,122.9034
9,4,0.50822617,0.42686154,0.01,0.1,5.07485,1.19693,0.01,50.8226
10,18,0.58491054,0.4285615,0.01,0.1,5.78739,1.17383,0.01,58.4911
11,48,0.55845359,0.44595779,0.01,0.1,4.97835,1.17573,0.01,55.8454
12,200,0.83719832,0.46318314,0.01,0.1,5.30305,1.18536,0.01,83.7198
13,200,0.83719832,0.46318314,0.01,0.1,5.30305,1.18536,0.01,83.7198
14,200,0.83719832,0.46318314,0.01,0.1,5.30305,1.18536,0.01,83.7198
15,5,0.62836167,0.42520236,0.01,0.1,5.81553,1.20081,0.01,62.8362
16,170,0.89250221,0.45948354,0.01,0.1,5.32884,1.21148,0.01,89.2502
17,48,0.55845359,0.44595779,0.01,0.1,4.97835,1.17573,0.01,55.8454
18,275,0.9708216,0.43495507,0.01,0.1,6.18502,1.24896,0.01,97.0822
19,269,0.90209668,0.46614477,0.01,0.1,4.85669,1.20663,0.01,90.2097
20,11,0.53159077,0.40962,0.01,0.1,5.82926,1.19521,0.01,53.1591
21,50,0.73916624,0.44078471,0.01,0.1,5.6679,1.20583,0.01,73.9166
22,5,0.62836167,0.42520236,0.01,0.1,5.81553,1.20081,0.01,62.8362
23,50,0.73916624,0.44078471,0.01,0.1,5.6679,1.20583,0.01,73.9166
24,288,0.96168763,0.46212925,0.01,0.1,4.8803,1.23574,0.01,96.1688
25,24,0.65890074,0.42195528,0.01,0.1,5.62,1.23625,0.01,65.8901
26,277,0.82596607,0.47022063,0.01,0.1,4.64809,1.18445,0.01,82.5966
27,95,0.57910711,0.4413978,0.01,0.1,5.76059,1.16504,0.01,57.9107
28,50,0.73916624,0.44078471,0.01,0.1,5.6679,1.20583,0.01,73.9166
29,50,0.73916624,0.44078471,0.01,0.1,5.6679,1.20583,0.01,73.9166
30,200,0.83719832,0.46318314,0.01,0.1,5.30305,1.18536,0.01,83.7198
31,270,0.75045097,0.44732143,0.01,0.1,5.29698,1.19882,0.01,75.0451
32,170,0.89250221,0.45948354,0.01,0.1,5.32884,1.21148,0.01,89.2502
33,270,0.75045097,0.44732143,0.01,0.1,5.29698,1.19882,0.01,75.0451
34,50,0.73916624,0.44078471,0.01,0.1,5.6679,1.20583,0.01,73.9166
35,269,0.90209668,0.46614477,0.01,0.1,4.85669,1.20663,0.01,90.2097
36,11,0.53159077,0.40962,0.01,0.1,5.82926,1.19521,0.01,53.1591
37,24,0.65890074,0.42195528,0.01,0.1,5.62,1.23625,0.01,65.8901
38,87,0.69046194,0.44429861,0.01,0.1,5.64047,1.17918,0.01,69.0462
39,48,0.55845359,0.44595779,0.01,0.1,4.97835,1.17573,0.01,55.8454
40,5,0.62836167,0.42520236,0.01,0.1,5.81553,1.20081,0.01,62.8362
41,200,0.83719832,0.46318314,0.01,0.1,5.30305,1.18536,0.01,83.7198
42,86,0.46838851,0.44305698,0.01,0.1,5.08437,1.16186,0.01,46.8389
43,5,0.62836167,0.42520236,0.01,0.1,5.81553,1.20081,0.01,62.8362
44,200,0.83719832,0.46318314,0.01,0.1,5.30305,1.18536,0.01,83.7198
45,59,0.66816279,0.40719219,0.01,0.1,6.73375,1.20183,0.01,66.8163
46,87,0.69046194,0.44429861,0.01,0.1,5.64047,1.17918,0.01,69.0462
47,50,0.73916624,0.44078471,0.01,0.1,5.6679,1.20583,0.01,73.9166
48,50,0.73916624,0.44078471,0.01,0.1,5.6679,1.20583,0.01,73.9166
49,48,0.55845359,0.44595779,0.01,0.1,4.97835,1.17573,0.01,55.8454
50,87,0.69046194,0.44429861,0.01,0.1,5.64047,1.17918,0.01,69.0462
51,87,0.69046194,0.44429861,0.01,0.1,5.64047,1.17918,0.01,69.0462
52,50,0.73916624,0.44078471,0.01,0.1,5.6679,1.20583,0.01,73.9166
53,60,0.61995658,0.43819983,0.01,0.1,5.7886,1.18958,0.01,61.9957
54,5,0.62836167,0.42520236,0.01,0.1,5.81553,1.20081,0.01,62.8362
55,198,0.7082806,0.46034351,0.01,0.1,5.55362,1.16994,0.01,70.8281
56,50,0.73916624,0.44078471,0.01,0.1,5.6679,1.20583,0.01,73.9166
57,198,0.7082806,0.46034351,0.01,0.1,5.55362,1.16994,0.01,70.8281
58,50,0.73916624,0.44078471,0.01,0.1,5.6679,1.20583,0.01,73.9166
59,269,0.90209668,0.46614477,0.01,0.1,4.85669,1.20663,0.01,90.2097
60,5,0.62836167,0.42520236,0.01,0.1,5.81553,1.20081,0.01,62.8362
61,200,0.83719832,0.46318314,0.01,0.1,5.30305,1.18536,0.01,83.7198
62,87,0.69046194,0.44429861,0.01,0.1,5.64047,1.17918,0.01,69.0462
63,4,0.50822617,0.42686154,0.01,0.1,5.07485,1.19693,0.01,50.8226
64,87,0.69046194,0.44429861,0.01,0.1,5.64047,1.17918,0.01,69.0462
65,87,0.69046194,0.44429861,0.01,0.1,5.64047,1.17918,0.01,69.0462
66,87,0.69046194,0.44429861,0.01,0.1,5.64047,1.17918,0.01,69.0462
67,5,0.62836167,0.42520236,0.01,0.1,5.81553,1.20081,0.01,62.8362
68,230,1.05228457,0.46075532,0.01,0.1,5.90711,1.19165,0.01,105.2285
69,199,0.67713567,0.46484232,0.01,0.1,4.74481,1.18179,0.01,67.7136
70,87,0.69046194,0.44429861,0.01,0.1,5.64047,1.17918,0.01,69.0462
71,269,0.90209668,0.46614477,0.01,0.1,4.85669,1.20663,0.01,90.2097
72,48,0.55845359,0.44595779,0.01,0.1,4.97835,1.17573,0.01,55.8454
73,200,0.83719832,0.46318314,0.01,0.1,5.30305,1.18536,0.01,83.7198
74,87,0.69046194,0.44429861,0.01,0.1,5.64047,1.17918,0.01,69.0462
75,200,0.83719832,0.46318314,0.01,0.1,5.30305,1.18536,0.01,83.7198
76,48,0.55845359,0.44595779,0.01,0.1,4.97835,1.17573,0.01,55.8454
77,200,0.83719832,0.46318314,0.01,0.1,5.30305,1.18536,0.01,83.7198
78,50,0.73916624,0.44078471,0.01,0.1,5.6679,1.20583,0.01,73.9166
79,200,0.83719832,0.46318314,0.01,0.1,5.30305,1.18536,0.01,83.7198
80,5,0.62836167,0.42520236,0.01,0.1,5.81553,1.20081,0.01,62.8362
81,230,1.05228457,0.46075532,0.01,0.1,5.90711,1.19165,0.01,105.2285
82,14,0.39393485,0.42726889,0.01,0.1,5.05111,1.15763,0.01,39.3935
83,4,0.50822617,0.42686154,0.01,0.1,5.07485,1.19693,0.01,50.8226
84,172,0.92906688,0.4383569,0.01,0.1,6.4002,1.2128,0.01,92.9067
