DATE      	CROP           	TOTAL BIOMASS  	ROOT BIOMASS   	GRAIN YIELD    	FORAGE YIELD   	AG RESIDUE     	HARVEST INDEX  	POTENTIAL TR   	ACTUAL TR      	SOIL EVAP      	TOTAL N        	ROOT N         	GRAIN N        	FORAGE N       	CUM. N STRESS  	N IN HARVEST   	N IN RESIDUE   	N CONCN FORAGE 
YYYY-MM-DD	-              	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/Mg          	mm             	mm             	mm             	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	-              	kg/ha          	kg/ha          	%              
2000-09-18	Maize          	11.897509      	1.799620       	4.102992       	0.000000       	5.994897       	0.406322       	260.125362     	280.365381     	230.666123     	0.076114       	0.008439       	0.042462       	0.000000       	0.335503       	42.461704      	33.652568      	0.000000       
2001-09-29	Maize          	11.452284      	1.725353       	3.908160       	0.000000       	5.818771       	0.401788       	328.729222     	329.314541     	213.081328     	0.071503       	0.007950       	0.039582       	0.000000       	0.338467       	39.581536      	31.921560      	0.000000       
2002-10-17	Maize          	12.290743      	1.769185       	4.337017       	0.000000       	6.184542       	0.412203       	354.765594     	355.597155     	250.918397     	0.079226       	0.008228       	0.044965       	0.000000       	0.325853       	44.964785      	34.261675      	0.000000       
2003-09-26	Maize          	9.395673       	1.461128       	3.235820       	0.000000       	4.698724       	0.407814       	259.203037     	259.263006     	174.325583     	0.062483       	0.006523       	0.035196       	0.000000       	0.359063       	35.195622      	27.287079      	0.000000       
2004-09-18	Maize          	12.686345      	1.818266       	4.495458       	0.000000       	6.372622       	0.413639       	280.604318     	281.755051     	201.735011     	0.082967       	0.008785       	0.047086       	0.000000       	0.299773       	47.085866      	35.881232      	0.000000       
2005-09-11	Maize          	11.010310      	1.589741       	3.886571       	0.000000       	5.533998       	0.412562       	287.620298     	287.828022     	159.825882     	0.071988       	0.007544       	0.040836       	0.000000       	0.324642       	40.835887      	31.151745      	0.000000       
2006-09-07	Maize          	12.108144      	1.633059       	4.345775       	0.000000       	6.129309       	0.414868       	305.544328     	305.760209     	166.484341     	0.080404       	0.008055       	0.046009       	0.000000       	0.288576       	46.009421      	34.394272      	0.000000       
2007-09-12	Maize          	11.046882      	1.625979       	3.661296       	0.000000       	5.759607       	0.388635       	291.547182     	291.662227     	192.145017     	0.074882       	0.007764       	0.040873       	0.000000       	0.313525       	40.872679      	34.009708      	0.000000       
2008-08-28	Maize          	12.248319      	1.750007       	4.361288       	0.000000       	6.137025       	0.415428       	352.857622     	353.994347     	179.330657     	0.079123       	0.008348       	0.045048       	0.000000       	0.315741       	45.047601      	34.075752      	0.000000       
2009-08-25	Maize          	8.098028       	1.107991       	3.028980       	0.000000       	3.961056       	0.433328       	227.762895     	230.840151     	197.333565     	0.069789       	0.006298       	0.041485       	0.000000       	0.254557       	41.484603      	28.304026      	0.000000       
2010-09-09	Maize          	14.528849      	1.921358       	5.401954       	0.000000       	7.205538       	0.428472       	324.510628     	327.452722     	193.183979     	0.099693       	0.010451       	0.057912       	0.000000       	0.223479       	57.911901      	41.781535      	0.000000       
2011-09-23	Maize          	11.720545      	1.801741       	3.837862       	0.000000       	6.080943       	0.386928       	382.711169     	386.455683     	161.615507     	0.070547       	0.007900       	0.038034       	0.000000       	0.362585       	38.034076      	32.513370      	0.000000       
2012-09-27	Maize          	10.807582      	1.634706       	3.695002       	0.000000       	5.477874       	0.402818       	323.156325     	323.504425     	184.886986     	0.067514       	0.007376       	0.037519       	0.000000       	0.362764       	37.518617      	29.995673      	0.000000       
2013-09-12	Maize          	13.152684      	1.879865       	4.665244       	0.000000       	6.607574       	0.413849       	385.455934     	388.307295     	228.314278     	0.083558       	0.008965       	0.047362       	0.000000       	0.314563       	47.362309      	36.195741      	0.000000       
2014-08-22	Maize          	11.569181      	1.785355       	3.827646       	0.000000       	5.956180       	0.391222       	431.808168     	442.775701     	185.039840     	0.070859       	0.007919       	0.038502       	0.000000       	0.368925       	38.502368      	32.356183      	0.000000       
2015-09-28	Maize          	13.702304      	1.941901       	4.974048       	0.000000       	6.786355       	0.422949       	459.598973     	464.396300     	220.993827     	0.091379       	0.009441       	0.052747       	0.000000       	0.298734       	52.746660      	38.632670      	0.000000       
2016-10-12	Maize          	10.918725      	1.659987       	3.617402       	0.000000       	5.641336       	0.390701       	420.637144     	397.458463     	198.489169     	0.070887       	0.007584       	0.038690       	0.000000       	0.348562       	38.689732      	32.197087      	0.000000       
2017-10-04	Maize          	5.736074       	0.910445       	1.868283       	0.000000       	2.957346       	0.387158       	283.624690     	245.733637     	233.577686     	0.040883       	0.004013       	0.022394       	0.000000       	0.392919       	22.393731      	18.489356      	0.000000       
