DATE      	CROP           	TOTAL BIOMASS  	ROOT BIOMASS   	GRAIN YIELD    	FORAGE YIELD   	AG RESIDUE     	HARVEST INDEX  	POTENTIAL TR   	ACTUAL TR      	SOIL EVAP      	TOTAL N        	ROOT N         	GRAIN N        	FORAGE N       	CUM. N STRESS  	N IN HARVEST   	N IN RESIDUE   	N CONCN FORAGE 
YYYY-MM-DD	-              	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/Mg          	mm             	mm             	mm             	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	-              	kg/ha          	kg/ha          	%              
2000-09-18	Maize          	25.500551      	2.799460       	10.872843      	0.000000       	11.828248      	0.478957       	307.302404     	329.117805     	199.495539     	0.311308       	0.027922       	0.195994       	0.000000       	0.000000       	195.993983     	115.313841     	0.000000       
2001-09-29	Maize          	23.411542      	2.545234       	10.088050      	0.000000       	10.778258      	0.483461       	367.757833     	369.393974     	222.555647     	0.297194       	0.025386       	0.188916       	0.000000       	0.000000       	188.916487     	108.277416     	0.000000       
2002-10-17	Maize          	23.599079      	2.565296       	10.046284      	0.000000       	10.987500      	0.477626       	393.866599     	395.511292     	260.045121     	0.304832       	0.025608       	0.192830       	0.000000       	0.000000       	192.830352     	112.001300     	0.000000       
2003-09-26	Maize          	21.355453      	2.368110       	9.221130       	0.000000       	9.766214       	0.485646       	312.082687     	312.404989     	180.744922     	0.275013       	0.023613       	0.175144       	0.000000       	0.000000       	175.144316     	99.868446      	0.000000       
2004-09-18	Maize          	23.084416      	2.553156       	9.734436       	0.000000       	10.796823      	0.474128       	311.611364     	312.667626     	191.440774     	0.286645       	0.025304       	0.179772       	0.000000       	0.000000       	179.771573     	106.873232     	0.000000       
2005-09-11	Maize          	21.298376      	2.275109       	9.313976       	0.000000       	9.709292       	0.489610       	317.325484     	318.466572     	172.667765     	0.280316       	0.022696       	0.180235       	0.000000       	0.000000       	180.234508     	100.081778     	0.000000       
2006-09-07	Maize          	21.408836      	2.224096       	9.382973       	0.000000       	9.801768       	0.489085       	325.272182     	326.599533     	171.486037     	0.284577       	0.022187       	0.183470       	0.000000       	0.000000       	183.470334     	101.106530     	0.000000       
2007-09-12	Maize          	20.799197      	2.316842       	8.532361       	0.000000       	9.949994       	0.461649       	320.963400     	321.104575     	194.022819     	0.278308       	0.023116       	0.172996       	0.000000       	0.000000       	172.996173     	105.312279     	0.000000       
2008-08-28	Maize          	23.338434      	2.490420       	10.165640      	0.000000       	10.682374      	0.487607       	385.170565     	386.388996     	173.896042     	0.298841       	0.024829       	0.191297       	0.000000       	0.000000       	191.297102     	107.543486     	0.000000       
2009-08-30	Maize          	14.500309      	1.624423       	6.287216       	0.000000       	6.588670       	0.488294       	278.451561     	287.351394     	184.787475     	0.190771       	0.014111       	0.123422       	0.000000       	0.023349       	123.422477     	67.348780      	0.000000       
2010-09-09	Maize          	21.172805      	2.295906       	9.196710       	0.000000       	9.680189       	0.487194       	338.905178     	341.616817     	186.588908     	0.274317       	0.022837       	0.175490       	0.000000       	0.000000       	175.489978     	98.827039      	0.000000       
2011-09-23	Maize          	24.667177      	2.743708       	10.289161      	0.000000       	11.634309      	0.469322       	432.633874     	446.945414     	177.170748     	0.303372       	0.027391       	0.188798       	0.000000       	0.000000       	188.797615     	114.574326     	0.000000       
2012-09-27	Maize          	23.770647      	2.561478       	10.236717      	0.000000       	10.972452      	0.482655       	376.770432     	377.396422     	185.067046     	0.294899       	0.025549       	0.187045       	0.000000       	0.000000       	187.044643     	107.854661     	0.000000       
2013-09-12	Maize          	24.494964      	2.644481       	10.521053      	0.000000       	11.329431      	0.481502       	422.264813     	427.179241     	219.492825     	0.311319       	0.026377       	0.197624       	0.000000       	0.000000       	197.623696     	113.695328     	0.000000       
2014-08-29	Maize          	24.873548      	2.727714       	10.539617      	0.000000       	11.606217      	0.475919       	470.286040     	479.927654     	195.973282     	0.313678       	0.027213       	0.197453       	0.000000       	0.000000       	197.452805     	116.224807     	0.000000       
2015-09-28	Maize          	23.561520      	2.621959       	10.008686      	0.000000       	10.930875      	0.477980       	506.547968     	510.916141     	199.195696     	0.309669       	0.026158       	0.195868       	0.000000       	0.000000       	195.868487     	113.800859     	0.000000       
2016-10-12	Maize          	20.276341      	2.398927       	7.963462       	0.000000       	9.913952       	0.445448       	482.267335     	425.800055     	208.048601     	0.260542       	0.023935       	0.157158       	0.000000       	0.000000       	157.157683     	103.384013     	0.000000       
2017-10-04	Maize          	12.411181      	1.355332       	5.241403       	0.000000       	5.814446       	0.474084       	315.987629     	262.359266     	243.467777     	0.161268       	0.012163       	0.102562       	0.000000       	0.000000       	102.561984     	58.706420      	0.000000       
