MUKEY	SLT	CLY	om	BLD
1	22.5	22.5	2.155	1.48
2	27.5	22.5	2.155	1.48
3	22.5	22.5	2.155	1.43
4	27.5	22.5	1.293	1.43
5	22.5	22.5	1.293	1.43
6	27.5	27.5	1.293	1.48
7	27.5	22.5	2.155	1.43
8	27.5	17.5	2.155	1.48
9	27.5	22.5	1.293	1.48
10	27.5	27.5	1.293	1.43
11	22.5	22.5	1.293	1.48
12	27.5	17.5	2.155	1.43
13	22.5	17.5	2.155	1.48
14	27.5	27.5	2.155	1.43
15	22.5	22.5	2.155	1.52
16	27.5	17.5	1.293	1.48
17	22.5	17.5	2.155	1.43
18	22.5	27.5	1.293	1.43
19	27.5	27.5	2.155	1.48
20	22.5	27.5	1.293	1.48
21	27.5	32.5	2.155	1.43
22	27.5	27.5	3.017	1.43
23	27.5	17.5	1.293	1.43
24	22.5	17.5	1.293	1.43
25	32.5	27.5	1.293	1.43
26	27.5	17.5	2.155	1.52
27	27.5	22.5	3.017	1.48
28	32.5	27.5	1.293	1.48
29	27.5	22.5	1.293	1.52
30	22.5	17.5	2.155	1.52
31	27.5	22.5	2.155	1.52
32	27.5	32.5	1.293	1.48
33	27.5	32.5	2.155	1.48
34	22.5	27.5	2.155	1.48
35	27.5	32.5	1.293	1.43
36	22.5	32.5	1.293	1.48
37	22.5	27.5	2.155	1.43
38	32.5	22.5	1.293	1.48
39	22.5	17.5	1.293	1.52
40	22.5	22.5	1.293	1.52
41	22.5	32.5	1.293	1.43
42	22.5	27.5	1.293	1.52
43	27.5	27.5	1.293	1.52
44	17.5	27.5	2.155	1.48
45	22.5	32.5	2.155	1.43
46	27.5	37.5	1.293	1.43
47	22.5	32.5	2.155	1.48
48	27.5	27.5	1.293	1.38
49	17.5	22.5	2.155	1.43
50	22.5	22.5	1.293	1.38
51	27.5	22.5	1.293	1.38
52	22.5	27.5	2.155	1.52
53	22.5	32.5	1.293	1.52
54	22.5	22.5	3.017	1.43
55	32.5	32.5	1.293	1.48
56	22.5	37.5	1.293	1.48
57	32.5	32.5	1.293	1.43
58	22.5	17.5	1.293	1.48
59	17.5	22.5	1.293	1.48
60	22.5	22.5	2.155	1.38
61	17.5	22.5	1.293	1.52
62	17.5	27.5	1.293	1.52
63	17.5	27.5	1.293	1.48
64	17.5	27.5	1.293	1.43
65	27.5	32.5	1.293	1.38
66	17.5	22.5	2.155	1.48
67	27.5	32.5	1.293	1.52
68	22.5	37.5	1.293	1.43
69	17.5	22.5	1.293	1.43
70	32.5	22.5	2.155	1.48
71	27.5	37.5	1.293	1.48
72	22.5	27.5	3.017	1.52
73	27.5	32.5	3.017	1.48
74	27.5	27.5	3.017	1.48
75	22.5	22.5	3.017	1.52
76	17.5	32.5	1.293	1.48
77	22.5	27.5	3.017	1.48
78	17.5	32.5	1.293	1.43
79	27.5	22.5	2.155	1.38
80	27.5	27.5	2.155	1.52
81	22.5	32.5	3.017	1.48
82	22.5	32.5	3.017	1.43
83	22.5	22.5	3.017	1.48
84	17.5	27.5	2.155	1.43
85	17.5	32.5	2.155	1.43
86	27.5	27.5	2.155	1.38
87	22.5	27.5	1.293	1.38
88	22.5	37.5	3.017	1.43
89	17.5	32.5	2.155	1.48
90	17.5	37.5	1.293	1.43
91	17.5	27.5	3.017	1.48
92	32.5	37.5	1.293	1.48
93	32.5	27.5	2.155	1.43
94	27.5	32.5	3.017	1.43
95	22.5	27.5	2.155	1.38
96	27.5	17.5	1.293	1.52
97	22.5	37.5	1.293	1.52
98	17.5	32.5	1.293	1.52
99	12.5	27.5	1.293	1.52
100	12.5	32.5	1.293	1.52
101	12.5	27.5	1.293	1.48
102	32.5	22.5	2.155	1.43
103	27.5	17.5	2.155	1.38
104	17.5	17.5	1.293	1.48
105	17.5	17.5	1.293	1.52
106	12.5	32.5	2.155	1.48
107	12.5	32.5	2.155	1.43
108	12.5	37.5	2.155	1.43
109	17.5	37.5	2.155	1.43
110	17.5	37.5	2.155	1.38
111	17.5	37.5	2.155	1.48
112	17.5	32.5	2.155	1.38
113	12.5	37.5	2.155	1.48
114	17.5	27.5	1.293	1.38
115	22.5	37.5	2.155	1.43
116	32.5	17.5	1.293	1.48
117	27.5	17.5	1.293	1.38
118	17.5	17.5	1.293	1.43
119	17.5	27.5	2.155	1.52
120	17.5	22.5	2.155	1.52
121	12.5	37.5	2.155	1.38
122	17.5	32.5	2.155	1.52
123	12.5	42.5	2.155	1.43
124	17.5	17.5	2.155	1.48
125	17.5	17.5	2.155	1.43
126	22.5	32.5	1.293	1.38
127	17.5	42.5	2.155	1.43
128	32.5	22.5	1.293	1.43
129	12.5	42.5	2.155	1.38
130	22.5	27.5	3.017	1.43
131	17.5	32.5	3.017	1.43
132	22.5	12.5	1.293	1.52
133	22.5	12.5	1.293	1.48
134	12.5	27.5	2.155	1.48
135	12.5	27.5	2.155	1.43
136	22.5	37.5	2.155	1.48
137	22.5	17.5	2.155	1.38
138	22.5	17.5	1.293	1.38
139	12.5	32.5	1.293	1.48
140	12.5	32.5	1.293	1.43
141	27.5	22.5	3.017	1.43
142	17.5	27.5	2.155	1.38
143	22.5	32.5	2.155	1.52
144	22.5	12.5	2.155	1.48
145	12.5	22.5	2.155	1.48
146	12.5	22.5	1.293	1.48
147	12.5	22.5	1.293	1.43
148	22.5	17.5	3.017	1.48
149	17.5	22.5	2.155	1.38
150	32.5	17.5	1.293	1.38
151	32.5	17.5	2.155	1.38
152	22.5	17.5	3.017	1.52
153	32.5	17.5	2.155	1.48
154	17.5	22.5	3.017	1.48
155	22.5	22.5	1.293	1.57
156	17.5	32.5	1.293	1.38
157	22.5	32.5	2.155	1.38
158	12.5	27.5	1.293	1.43
159	27.5	32.5	2.155	1.38
160	32.5	17.5	2.155	1.43
161	22.5	37.5	2.155	1.38
162	17.5	17.5	2.155	1.52
163	32.5	27.5	1.293	1.52
164	32.5	32.5	1.293	1.38
165	17.5	37.5	1.293	1.48
166	17.5	27.5	3.017	1.52
167	17.5	22.5	3.017	1.52
168	27.5	22.5	1.293	1.32
169	27.5	17.5	1.293	1.32
170	22.5	22.5	1.293	1.32
171	17.5	27.5	1.293	1.57
172	17.5	22.5	1.293	1.38
173	22.5	32.5	3.017	1.38
174	17.5	32.5	2.155	1.32
175	17.5	37.5	2.155	1.52
176	12.5	37.5	1.293	1.38
177	17.5	37.5	1.293	1.52
178	32.5	17.5	1.293	1.43
179	27.5	17.5	3.017	1.48
180	17.5	27.5	3.017	1.43
181	12.5	27.5	2.155	1.38
182	22.5	32.5	2.155	1.23
183	17.5	32.5	2.155	1.23
184	27.5	27.5	2.155	1.32
185	22.5	37.5	1.293	1.38
186	22.5	32.5	2.155	1.18
187	17.5	22.5	3.017	1.43
188	17.5	37.5	1.293	1.38
189	22.5	32.5	2.155	1.32
190	32.5	22.5	2.155	1.38
191	22.5	42.5	1.293	1.43
192	22.5	37.5	2.155	1.32
193	22.5	32.5	3.017	1.32
194	32.5	22.5	1.293	1.38
195	22.5	27.5	3.017	1.32
196	22.5	37.5	3.017	1.38
197	27.5	32.5	2.155	1.32
198	22.5	27.5	2.155	1.32
199	27.5	27.5	1.293	1.32
200	22.5	27.5	1.293	1.32
201	27.5	37.5	2.155	1.43
202	32.5	27.5	1.293	1.38
203	17.5	37.5	2.155	1.57
204	17.5	27.5	2.155	1.32
205	22.5	37.5	2.155	1.52
206	22.5	22.5	2.155	1.32
207	17.5	37.5	3.017	1.27
208	17.5	32.5	3.017	1.27
209	17.5	37.5	2.155	1.27
210	17.5	37.5	2.155	1.32
211	12.5	37.5	3.017	1.27
212	17.5	37.5	3.017	1.32
213	12.5	37.5	3.017	1.38
214	17.5	42.5	2.155	1.38
215	17.5	42.5	2.155	1.32
216	12.5	37.5	2.155	1.32
217	17.5	37.5	3.017	1.43
218	12.5	37.5	3.017	1.32
219	17.5	37.5	3.017	1.38
220	12.5	32.5	3.017	1.32
221	12.5	32.5	2.155	1.52
222	12.5	37.5	2.155	1.52
223	27.5	37.5	2.155	1.38
224	17.5	32.5	3.017	1.38
225	12.5	32.5	2.155	1.38
226	32.5	32.5	2.155	1.43
227	27.5	22.5	2.155	1.32
228	22.5	32.5	1.293	1.32
229	22.5	27.5	2.155	1.27
230	17.5	27.5	1.293	1.32
231	22.5	27.5	1.293	1.27
232	17.5	32.5	1.293	1.32
233	32.5	37.5	1.293	1.43
234	32.5	27.5	2.155	1.48
235	17.5	22.5	2.155	1.32
236	27.5	37.5	2.155	1.48
237	17.5	37.5	1.293	1.32
238	17.5	22.5	1.293	1.32
239	17.5	32.5	3.017	1.48
240	12.5	32.5	2.155	1.32
241	12.5	32.5	1.293	1.32
242	12.5	32.5	1.293	1.38
243	17.5	37.5	3.017	1.52
244	17.5	32.5	3.017	1.52
245	17.5	37.5	3.017	1.48
246	22.5	27.5	2.155	1.23
247	17.5	27.5	3.017	1.38
248	12.5	32.5	3.017	1.43
249	17.5	32.5	2.155	1.57
250	22.5	17.5	3.017	1.43
251	17.5	27.5	2.155	1.23
252	12.5	32.5	3.017	1.48
253	32.5	32.5	2.155	1.48
254	17.5	42.5	2.155	1.48
255	22.5	27.5	2.155	1.18
256	12.5	32.5	3.017	1.38
257	12.5	37.5	3.017	1.43
258	12.5	37.5	3.017	1.48
259	12.5	32.5	3.017	1.52
260	12.5	42.5	2.155	1.48
261	12.5	27.5	3.017	1.38
262	17.5	32.5	2.155	1.18
263	12.5	37.5	3.017	1.52
264	22.5	22.5	1.293	1.27
265	22.5	32.5	2.155	1.27
266	22.5	22.5	3.017	1.38
267	27.5	37.5	1.293	1.38
268	22.5	42.5	2.155	1.38
269	22.5	27.5	0.431	1.32
270	22.5	27.5	0.431	1.38
271	27.5	22.5	1.293	1.27
272	27.5	32.5	1.293	1.32
273	27.5	27.5	0.431	1.38
274	32.5	27.5	1.293	1.32
275	17.5	17.5	1.293	1.38
276	22.5	32.5	0.431	1.38
277	22.5	32.5	0.431	1.32
278	27.5	27.5	0.431	1.32
279	27.5	27.5	1.293	1.27
280	17.5	42.5	1.293	1.43
281	27.5	32.5	0.431	1.32
282	12.5	27.5	1.293	1.38
283	22.5	32.5	1.293	1.27
284	22.5	27.5	0.431	1.27
285	27.5	22.5	2.155	1.27
286	22.5	32.5	0.431	1.27
287	22.5	37.5	1.293	1.32
288	22.5	22.5	0.431	1.32
289	22.5	22.5	0.431	1.38
290	22.5	17.5	2.155	1.32
291	27.5	22.5	3.017	1.38
292	27.5	32.5	3.017	1.38
293	22.5	22.5	0.431	1.43
294	22.5	17.5	1.293	1.32
295	22.5	42.5	2.155	1.43
296	17.5	17.5	1.293	1.57
297	22.5	27.5	0.431	1.43
298	27.5	27.5	0.431	1.43
299	22.5	27.5	3.017	1.38
300	12.5	27.5	2.155	1.32
301	27.5	27.5	3.017	1.38
302	17.5	17.5	1.293	1.32
303	22.5	12.5	1.293	1.43
304	22.5	17.5	3.017	1.38
305	17.5	17.5	3.017	1.48
306	17.5	17.5	3.017	1.43
307	17.5	32.5	3.017	1.32
308	32.5	27.5	2.155	1.38
309	22.5	37.5	3.017	1.32
310	27.5	17.5	2.155	1.32
311	27.5	27.5	0.431	1.48
312	22.5	22.5	2.155	1.27
313	27.5	22.5	0.431	1.48
314	22.5	17.5	0.431	1.48
315	17.5	22.5	2.155	1.27
316	17.5	22.5	3.017	1.38
