date,cmname,unit,category,country,admname,adm1id,mktname,price
#date,#item+name,#item+unit,#item+type,#country+name,#adm1+name,#adm1+code,#name+market,#value
7/15/05,Sorghum - Wholesale,ETB/100 KG,cereals and tubers,Ethiopia,Addis Ababa,1227,Addis Ababa,238
8/15/05,Sorghum - Wholesale,ETB/100 KG,cereals and tubers,Ethiopia,Addis Ababa,1227,Addis Ababa,250
9/15/05,Sorghum - Wholesale,ETB/100 KG,cereals and tubers,Ethiopia,Addis Ababa,1227,Addis Ababa,248
10/15/05,Sorghum - Wholesale,ETB/100 KG,cereals and tubers,Ethiopia,Addis Ababa,1227,Addis Ababa,233
11/15/05,Sorghum - Wholesale,ETB/100 KG,cereals and tubers,Ethiopia,Addis Ababa,1227,Addis Ababa,252
12/15/05,Sorghum - Wholesale,ETB/100 KG,cereals and tubers,Ethiopia,Addis Ababa,1227,Addis Ababa,253
1/15/06,Sorghum - Wholesale,ETB/100 KG,cereals and tubers,Ethiopia,Addis Ababa,1227,Addis Ababa,243
2/15/06,Sorghum - Wholesale,ETB/100 KG,cereals and tubers,Ethiopia,Addis Ababa,1227,Addis Ababa,237
3/15/06,Sorghum - Wholesale,ETB/100 KG,cereals and tubers,Ethiopia,Addis Ababa,1227,Addis Ababa,245
4/15/06,Sorghum - Wholesale,ETB/100 KG,cereals and tubers,Ethiopia,Addis Ababa,1227,Addis Ababa,249
5/15/06,Sorghum - Wholesale,ETB/100 KG,cereals and tubers,Ethiopia,Addis Ababa,1227,Addis Ababa,260
6/15/06,Sorghum - Wholesale,ETB/100 KG,cereals and tubers,Ethiopia,Addis Ababa,1227,Addis Ababa,264
7/15/06,Sorghum - Wholesale,ETB/100 KG,cereals and tubers,Ethiopia,Addis Ababa,1227,Addis Ababa,275
8/15/06,Sorghum - Wholesale,ETB/100 KG,cereals and tubers,Ethiopia,Addis Ababa,1227,Addis Ababa,293
9/15/06,Sorghum - Wholesale,ETB/100 KG,cereals and tubers,Ethiopia,Addis Ababa,1227,Addis Ababa,298
10/15/06,Sorghum - Wholesale,ETB/100 KG,cereals and tubers,Ethiopia,Addis Ababa,1227,Addis Ababa,291
11/15/06,Sorghum - Wholesale,ETB/100 KG,cereals and tubers,Ethiopia,Addis Ababa,1227,Addis Ababa,307
12/15/06,Sorghum - Wholesale,ETB/100 KG,cereals and tubers,Ethiopia,Addis Ababa,1227,Addis Ababa,341
1/15/07,Sorghum - Wholesale,ETB/100 KG,cereals and tubers,Ethiopia,Addis Ababa,1227,Addis Ababa,323
2/15/07,Sorghum - Wholesale,ETB/100 KG,cereals and tubers,Ethiopia,Addis Ababa,1227,Addis Ababa,316
3/15/07,Sorghum - Wholesale,ETB/100 KG,cereals and tubers,Ethiopia,Addis Ababa,1227,Addis Ababa,318
