dcat-cube:measure_1_value,sdmx-dimension:refPeriod,sdmx-attribute:unitMeasure,sdmx-dimension:refArea,dcat-cube:dimension_thing
0.082134514,7/15/05,$/kg,Addis Ababa,Sorghum - Wholesale
0.08627575000000001,8/15/05,$/kg,Addis Ababa,Sorghum - Wholesale
0.08558554400000001,9/15/05,$/kg,Addis Ababa,Sorghum - Wholesale
0.08040899900000001,10/15/05,$/kg,Addis Ababa,Sorghum - Wholesale
0.08696595600000001,11/15/05,$/kg,Addis Ababa,Sorghum - Wholesale
0.08731105900000001,12/15/05,$/kg,Addis Ababa,Sorghum - Wholesale
0.083860029,1/15/06,$/kg,Addis Ababa,Sorghum - Wholesale
0.081789411,2/15/06,$/kg,Addis Ababa,Sorghum - Wholesale
0.084550235,3/15/06,$/kg,Addis Ababa,Sorghum - Wholesale
0.08593064700000001,4/15/06,$/kg,Addis Ababa,Sorghum - Wholesale
0.08972678,5/15/06,$/kg,Addis Ababa,Sorghum - Wholesale
0.091107192,6/15/06,$/kg,Addis Ababa,Sorghum - Wholesale
0.09490332500000001,7/15/06,$/kg,Addis Ababa,Sorghum - Wholesale
0.10111517900000001,8/15/06,$/kg,Addis Ababa,Sorghum - Wholesale
0.10284069400000001,9/15/06,$/kg,Addis Ababa,Sorghum - Wholesale
0.10042497300000001,10/15/06,$/kg,Addis Ababa,Sorghum - Wholesale
0.105946621,11/15/06,$/kg,Addis Ababa,Sorghum - Wholesale
0.11768012300000001,12/15/06,$/kg,Addis Ababa,Sorghum - Wholesale
0.11146826900000001,1/15/07,$/kg,Addis Ababa,Sorghum - Wholesale
0.10905254800000001,2/15/07,$/kg,Addis Ababa,Sorghum - Wholesale
0.10974275400000001,3/15/07,$/kg,Addis Ababa,Sorghum - Wholesale
0.11043296000000001,4/15/07,$/kg,Addis Ababa,Sorghum - Wholesale
0.12251156500000002,5/15/07,$/kg,Addis Ababa,Sorghum - Wholesale
0.112503578,6/15/07,$/kg,Addis Ababa,Sorghum - Wholesale
0.11664481400000001,7/15/07,$/kg,Addis Ababa,Sorghum - Wholesale
0.13700589100000002,8/15/07,$/kg,Addis Ababa,Sorghum - Wholesale
0.12492728600000001,9/15/07,$/kg,Addis Ababa,Sorghum - Wholesale
0.12837831600000002,10/15/07,$/kg,Addis Ababa,Sorghum - Wholesale
0.13044893400000002,11/15/07,$/kg,Addis Ababa,Sorghum - Wholesale
0.12320177100000002,12/15/07,$/kg,Addis Ababa,Sorghum - Wholesale
0.13286465500000003,1/15/08,$/kg,Addis Ababa,Sorghum - Wholesale
0.13286465500000003,2/15/08,$/kg,Addis Ababa,Sorghum - Wholesale
0.14839429,3/15/08,$/kg,Addis Ababa,Sorghum - Wholesale
0.161853307,4/15/08,$/kg,Addis Ababa,Sorghum - Wholesale
0.19360278300000003,5/15/08,$/kg,Addis Ababa,Sorghum - Wholesale
0.250199675,6/15/08,$/kg,Addis Ababa,Sorghum - Wholesale
0.25537622000000004,7/15/08,$/kg,Addis Ababa,Sorghum - Wholesale
0.25675663200000004,8/15/08,$/kg,Addis Ababa,Sorghum - Wholesale
0.25365070500000003,9/15/08,$/kg,Addis Ababa,Sorghum - Wholesale
0.2760824,10/15/08,$/kg,Addis Ababa,Sorghum - Wholesale
0.2760824,11/15/08,$/kg,Addis Ababa,Sorghum - Wholesale
0.25882725,12/15/08,$/kg,Addis Ababa,Sorghum - Wholesale
0.22086592000000002,1/15/09,$/kg,Addis Ababa,Sorghum - Wholesale
0.18980665000000002,2/15/09,$/kg,Addis Ababa,Sorghum - Wholesale
0.21741489000000003,3/15/09,$/kg,Addis Ababa,Sorghum - Wholesale
0.21396386000000003,4/15/09,$/kg,Addis Ababa,Sorghum - Wholesale
0.21396386000000003,5/15/09,$/kg,Addis Ababa,Sorghum - Wholesale
0.19325768000000002,6/15/09,$/kg,Addis Ababa,Sorghum - Wholesale
0.20361077000000002,7/15/09,$/kg,Addis Ababa,Sorghum - Wholesale
0.19843422500000002,8/15/09,$/kg,Addis Ababa,Sorghum - Wholesale
0.18704582600000003,9/15/09,$/kg,Addis Ababa,Sorghum - Wholesale
0.18704582600000003,10/15/09,$/kg,Addis Ababa,Sorghum - Wholesale
0.16150820400000002,11/15/09,$/kg,Addis Ababa,Sorghum - Wholesale
0.17600253000000002,12/15/09,$/kg,Addis Ababa,Sorghum - Wholesale
0.205336285,1/15/10,$/kg,Addis Ababa,Sorghum - Wholesale
0.188771341,2/15/10,$/kg,Addis Ababa,Sorghum - Wholesale
0.18704582600000003,3/15/10,$/kg,Addis Ababa,Sorghum - Wholesale
0.19670871,4/15/10,$/kg,Addis Ababa,Sorghum - Wholesale
0.19429298900000003,5/15/10,$/kg,Addis Ababa,Sorghum - Wholesale
0.17703783900000003,6/15/10,$/kg,Addis Ababa,Sorghum - Wholesale
0.19049685600000002,7/15/10,$/kg,Addis Ababa,Sorghum - Wholesale
0.19291257700000003,8/15/10,$/kg,Addis Ababa,Sorghum - Wholesale
0.19256747400000002,9/15/10,$/kg,Addis Ababa,Sorghum - Wholesale
0.19187726800000002,10/15/10,$/kg,Addis Ababa,Sorghum - Wholesale
0.19877932800000003,11/15/10,$/kg,Addis Ababa,Sorghum - Wholesale
0.2017127035,12/15/10,$/kg,Addis Ababa,Sorghum - Wholesale
0.15276329398000002,1/15/11,$/kg,Addis Ababa,Sorghum - Wholesale
0.13838630300000002,2/15/11,$/kg,Addis Ababa,Sorghum - Wholesale
0.16599454300000002,5/15/11,$/kg,Addis Ababa,Sorghum - Wholesale
0.188081135,6/15/11,$/kg,Addis Ababa,Sorghum - Wholesale
0.190151753,7/15/11,$/kg,Addis Ababa,Sorghum - Wholesale
0.22914839200000003,8/15/11,$/kg,Addis Ababa,Sorghum - Wholesale
0.265039104,9/15/11,$/kg,Addis Ababa,Sorghum - Wholesale
0.23570534900000004,10/15/11,$/kg,Addis Ababa,Sorghum - Wholesale
0.23570534900000004,11/15/11,$/kg,Addis Ababa,Sorghum - Wholesale
0.23777596700000003,1/15/12,$/kg,Addis Ababa,Sorghum - Wholesale
0.25882725,2/15/12,$/kg,Addis Ababa,Sorghum - Wholesale
0.264694001,3/15/12,$/kg,Addis Ababa,Sorghum - Wholesale
0.264694001,4/15/12,$/kg,Addis Ababa,Sorghum - Wholesale
0.28160404800000005,5/15/12,$/kg,Addis Ababa,Sorghum - Wholesale
0.345448103,8/15/12,$/kg,Addis Ababa,Sorghum - Wholesale
0.345793206,9/15/12,$/kg,Addis Ababa,Sorghum - Wholesale
0.343032382,10/15/12,$/kg,Addis Ababa,Sorghum - Wholesale
0.345793206,11/15/12,$/kg,Addis Ababa,Sorghum - Wholesale
0.324051717,12/15/12,$/kg,Addis Ababa,Sorghum - Wholesale
0.345793206,1/15/13,$/kg,Addis Ababa,Sorghum - Wholesale
0.28401976900000003,2/15/13,$/kg,Addis Ababa,Sorghum - Wholesale
0.286090387,3/15/13,$/kg,Addis Ababa,Sorghum - Wholesale
0.296443477,4/15/13,$/kg,Addis Ababa,Sorghum - Wholesale
0.305416155,5/15/13,$/kg,Addis Ababa,Sorghum - Wholesale
0.34096176400000006,6/15/13,$/kg,Addis Ababa,Sorghum - Wholesale
0.35649139900000004,7/15/13,$/kg,Addis Ababa,Sorghum - Wholesale
0.358562017,8/15/13,$/kg,Addis Ababa,Sorghum - Wholesale
0.363048356,9/15/13,$/kg,Addis Ababa,Sorghum - Wholesale
0.381683918,10/15/13,$/kg,Addis Ababa,Sorghum - Wholesale
0.34199707300000004,12/15/13,$/kg,Addis Ababa,Sorghum - Wholesale
0.31162800900000004,1/15/14,$/kg,Addis Ababa,Sorghum - Wholesale
0.302310228,3/15/14,$/kg,Addis Ababa,Sorghum - Wholesale
0.30023961000000005,4/15/14,$/kg,Addis Ababa,Sorghum - Wholesale
0.298168992,5/15/14,$/kg,Addis Ababa,Sorghum - Wholesale
0.298168992,6/15/14,$/kg,Addis Ababa,Sorghum - Wholesale
0.319910481,7/15/14,$/kg,Addis Ababa,Sorghum - Wholesale
0.32922826200000005,8/15/14,$/kg,Addis Ababa,Sorghum - Wholesale
0.32922826200000005,9/15/14,$/kg,Addis Ababa,Sorghum - Wholesale
0.309557391,10/15/14,$/kg,Addis Ababa,Sorghum - Wholesale
0.29437285900000004,11/15/14,$/kg,Addis Ababa,Sorghum - Wholesale
0.305416155,12/15/14,$/kg,Addis Ababa,Sorghum - Wholesale
0.30852208200000003,1/15/15,$/kg,Addis Ababa,Sorghum - Wholesale
0.30472594900000005,2/15/15,$/kg,Addis Ababa,Sorghum - Wholesale
0.283674666,5/15/15,$/kg,Addis Ababa,Sorghum - Wholesale
0.290576726,6/15/15,$/kg,Addis Ababa,Sorghum - Wholesale
0.29471796200000006,7/15/15,$/kg,Addis Ababa,Sorghum - Wholesale
0.30438084600000004,8/15/15,$/kg,Addis Ababa,Sorghum - Wholesale
0.29333755,10/15/15,$/kg,Addis Ababa,Sorghum - Wholesale
0.34751872100000003,11/15/15,$/kg,Addis Ababa,Sorghum - Wholesale
0.33785583700000005,12/15/15,$/kg,Addis Ababa,Sorghum - Wholesale
0.34648341200000005,1/15/16,$/kg,Addis Ababa,Sorghum - Wholesale
0.35062464800000004,2/15/16,$/kg,Addis Ababa,Sorghum - Wholesale
0.34924423600000004,3/15/16,$/kg,Addis Ababa,Sorghum - Wholesale
0.35959732600000005,4/15/16,$/kg,Addis Ababa,Sorghum - Wholesale
0.349934442,5/15/16,$/kg,Addis Ababa,Sorghum - Wholesale
